Broadway & 4th St.,Canal & Lafayette St.,Metrotech Center Roadway,6 Metrotech Arrival,6 Metrotech Departure,Cadman Plaza & Clark St.,Canal & Centre St.,715 Broadway Arrival
-,-,-,-,7:25 AM,-,-,7:50 AM
7:55 AM,8:02 AM,8:10 AM,8:17 AM,8:25 AM,-,-,8:50 AM
8:55 AM,9:02 AM,9:10 AM,9:17 AM,9:25 AM,-,-,9:50 AM
9:20 AM,9:27 AM,9:35 AM,9:42 AM,9:50 AM,-,-,10:15 AM
9:55 AM,10:02 AM,10:10 AM,10:17 AM,10:25 AM,-,-,10:50 AM
10:55 AM,11:02 AM,11:10 AM,11:17 AM,11:25 AM,-,-,11:50 AM
11:55 AM,12:02 PM,12:10 PM,12:17 PM,12:25 PM,-,-,1:05 PM
-,-,-,-,1:00 PM,-,-,1:25 PM
1:05 PM,1:12 PM,1:20 PM,1:27 PM,1:35 PM,-,-,2:05 PM
1:40 PM,1:47 PM,1:55 PM,2:02 PM,2:10 PM,-,-,2:35 PM
2:15 PM,2:22 PM,2:30 PM,2:37 PM,2:45 PM,-,-,3:10 PM
2:50 PM,2:57 PM,3:05 PM,3:12 PM,3:20 PM,-,-,3:45 PM
3:25 PM,3:32 PM,3:40 PM,3:47 PM,3:55 PM,-,-,4:20 PM
4:00 PM,4:07 PM,4:15 PM,4:22 PM,4:30 PM,-,-,4:55 PM
4:35 PM,4:42 PM,4:50 PM,4:57 PM,5:05 PM,-,-,5:30 PM
5:10 PM,5:17 PM,5:25 PM,5:32 PM,5:40 PM,-,-,6:05 PM
5:45 PM,5:52 PM,6:10 PM,6:17 PM,6:25 PM,-,-,6:50 PM
6:20 PM,6:27 PM,6:35 PM,6:42 PM,-,-,-,-
6:55 PM,7:02 PM,7:10 PM,7:17 PM,-,-,-,-