715 Broadway,Broadway & Broome St.,Canal & Lafayette St.,80 Lafayette,Cleveland Pl & Spring St.,Layfayette & E 4th St.,715 Broadway Arrival
-,-,7:35 AM,-,7:38 AM,7:42 AM,-
-,-,8:00 AM,-,8:03 AM,8:07 AM,-
-,-,8:20 AM,-,8:23 AM,8:27 AM,-
-,-,8:28 AM,-,8:31 AM,8:35 AM,-
-,-,8:43 AM,-,8:46 AM,8:50 AM,-
-,-,8:50 AM,-,8:53 AM,8:57 AM,-
-,-,9:00 AM,-,9:03 AM,9:07 AM,-
-,-,9:08 AM,-,9:11 AM,9:15 AM,-
-,-,9:14 AM,-,9:17 AM,9:21 AM,-
-,-,9:25 AM,-,9:28 AM,9:32 AM,-
-,-,9:33 AM,-,9:36 AM,9:40 AM,-
-,-,9:50 AM,-,9:53 AM,9:57 AM,-
-,-,10:00 AM,-,10:03 AM,10:07 AM,-
-,-,10:20 AM,-,10:23 AM,10:27 AM,-
-,-,10:30 AM,-,10:33 AM,10:37 AM,-
-,-,10:40 AM,-,10:43 AM,10:47 AM,-
10:50 AM,10:55 AM,10:59 AM,-,11:02 AM,11:06 AM,11:08 AM
11:10 AM,11:15 AM,11:19 AM,-,11:22 AM,11:26 AM,11:28 AM
11:30 AM,11:35 AM,11:39 AM,-,11:42 AM,11:46 AM,11:48 AM
11:50 AM,11:55 AM,11:59 AM,-,12:02 PM,12:06 PM,12:08 PM
12:10 PM,12:15 PM,12:19 PM,-,12:22 PM,12:26 PM,12:28 PM
12:30 PM,12:35 PM,12:39 PM,-,12:42 PM,12:46 PM,12:48 PM
12:50 PM,12:55 PM,12:59 PM,-,1:02 PM,1:06 PM,1:08 PM
1:30 PM,1:35 PM,1:39 PM,-,1:42 PM,1:46 PM,1:48 PM
1:55 PM,2:00 PM,2:04 PM,-,2:07 PM,2:11 PM,2:13 PM
2:25 PM,2:30 PM,2:34 PM,-,2:37 PM,2:41 PM,2:43 PM
2:35 PM,2:40 PM,2:44 PM,-,2:47 PM,2:51 PM,2:53 PM
3:25 PM,3:30 PM,3:34 PM,-,3:37 PM,3:41 PM,3:43 PM
3:35 PM,3:40 PM,3:44 PM,-,3:47 PM,3:51 PM,3:53 PM
4:00 PM,4:05 PM,4:09 PM,-,4:12 PM,4:16 PM,4:18 PM
4:35 PM,4:40 PM,4:44 PM,-,4:47 PM,4:51 PM,4:53 PM
4:55 PM,5:00 PM,5:04 PM,-,5:07 PM,5:11 PM,5:13 PM
5:15 PM,5:20 PM,5:24 PM,-,5:27 PM,5:31 PM,5:33 PM
5:30 PM,5:35 PM,5:39 PM,-,5:42 PM,5:46 PM,5:48 PM
6:20 PM,6:25 PM,6:29 PM,-,6:32 PM,6:36 PM,6:38 PM
6:45 PM,6:50 PM,-,6:57 PM,7:03 PM,7:07 PM,7:09 PM
7:20 PM,7:25 PM,-,7:32 PM,7:38 PM,7:42 PM,7:44 PM
7:45 PM,7:50 PM,-,7:57 PM,8:03 PM,8:07 PM,8:09 PM
8:05 PM,8:10 PM,-,8:17 PM,8:23 PM,8:27 PM,8:29 PM
8:15 PM,8:20 PM,-,8:27 PM,8:33 PM,8:37 PM,8:39 PM
8:35 PM,8:40 PM,-,8:47 PM,8:53 PM,8:57 PM,8:59 PM
9:00 PM,9:05 PM,-,9:12 PM,-,-,9:35 PM
9:15 PM,9:20 PM,-,9:27 PM,9:33 PM,9:37 PM,9:39 PM
9:40 PM,9:45 PM,-,9:52 PM,9:58 PM,10:02 PM,10:04 PM
10:00 PM,10:05 PM,-,10:12 PM,10:18 PM,10:22 PM,10:24 PM
10:15 PM,10:20 PM,-,10:27 PM,-,-,10:52 AM
10:40 PM,10:45 PM,-,10:52 PM,10:58 PM,11:02 PM,11:04 PM
11:20 PM,11:25 PM,-,11:32 PM,11:38 PM,11:42 PM,-