715 Broadway,14th St at Irving Place (EB),14th St at 3rd Ave.,1st Ave. at 17th St.,1st Ave. at 24th St.,1st Ave. at 26th St.,NYU Langone Health,Lexington Ave. at 31st St.,Gramercy Green,3rd Ave. at 17th St.,14th St at Irving Place (WB),715 Broadway Arrival
-,-,-,-,7:25 AM,7:26 AM,7:30 AM,7:34 AM,7:39 AM,7:41 AM,7:44 AM,7:49 AM
8:10 AM,8:16 AM,8:17 AM,8:20 AM,8:23 AM,8:24 AM,8:28 AM,8:32 AM,8:37 AM,8:39 AM,8:42 AM,8:47 AM
8:30 AM,8:36 AM,8:37 AM,8:40 AM,8:43 AM,8:44 AM,8:48 AM,8:52 AM,8:57 AM,8:59 AM,9:02 AM,9:07 AM
-,-,-,-,-,-,-,-,9:05 AM,9:07 AM,9:10 AM,9:15 AM
9:20 AM,9:26 AM,9:27 AM,9:30 AM,9:33 AM,9:34 AM,9:38 AM,9:42 AM,9:47 AM,9:49 AM,9:52 AM,9:57 AM
9:40 AM,9:46 AM,9:47 AM,9:50 AM,9:53 AM,9:54 AM,9:58 AM,10:02 AM,10:07 AM,10:09 AM,10:12 AM,10:17 AM
10:10 AM,10:16 AM,10:17 AM,10:20 AM,10:23 AM,10:24 AM,10:28 AM,10:32 AM,10:37 AM,10:39 AM,10:42 AM,10:47 AM
10:40 AM,10:46 AM,10:47 AM,10:50 AM,10:53 AM,10:54 AM,10:58 AM,11:02 AM,11:07 AM,11:09 AM,11:12 AM,11:17 AM
11:05 AM,11:11 AM,11:12 AM,11:15 AM,11:18 AM,11:19 AM,11:23 AM,11:27 AM,11:32 AM,11:34 AM,11:37 AM,11:42 AM
11:35 AM,11:41 AM,11:42 AM,11:45 AM,11:48 AM,11:49 AM,11:53 AM,11:57 AM,12:02 PM,12:04 PM,12:07 PM,12:12 PM
12:10 PM,12:16 PM,12:17 PM,12:20 PM,12:23 PM,12:24 PM,12:28 PM,12:32 PM,12:37 PM,12:39 PM,12:42 PM,12:47 PM
12:30 PM,12:36 PM,12:37 PM,12:40 PM,12:43 PM,12:44 PM,12:48 PM,12:52 PM,12:57 PM,12:59 PM,1:02 PM,1:07 PM
1:25 PM,1:31 PM,1:32 PM,1:35 PM,1:38 PM,1:39 PM,1:43 PM,1:47 PM,1:52 PM,1:54 PM,1:57 PM,2:02 PM
2:20 PM,2:26 PM,2:27 PM,2:30 PM,2:33 PM,2:34 PM,2:38 PM,2:42 PM,2:47 PM,2:49 PM,2:52 PM,2:57 PM
3:25 PM,3:31 PM,3:32 PM,3:35 PM,3:38 PM,3:39 PM,3:43 PM,3:47 PM,3:52 PM,3:54 PM,3:57 PM,4:02 PM
4:10 PM,4:16 PM,4:17 PM,4:20 PM,4:23 PM,4:24 PM,4:28 PM,4:32 PM,4:37 PM,4:39 PM,4:42 PM,4:47 PM
4:30 PM,4:36 PM,4:37 PM,4:40 PM,4:43 PM,4:44 PM,4:48 PM,4:52 PM,4:57 PM,4:59 PM,5:02 PM,5:07 PM
5:05 PM,5:11 PM,5:12 PM,5:15 PM,5:18 PM,5:19 PM,5:23 PM,5:27 PM,5:32 PM,5:34 PM,5:37 PM,5:42 PM
5:30 PM,5:36 PM,5:37 PM,5:40 PM,5:43 PM,5:44 PM,5:48 PM,5:52 PM,5:57 PM,5:59 PM,6:02 PM,6:07 PM
6:20 PM,6:26 PM,6:27 PM,6:30 PM,6:33 PM,6:34 PM,6:38 PM,6:42 PM,6:47 PM,6:49 PM,6:52 PM,6:57 PM
6:40 AM,6:46 AM,6:47 AM,6:50 AM,6:53 AM,6:54 AM,6:58 AM,7:02 AM,7:07 AM,7:09 AM,7:12 AM,7:17 AM
7:10 PM,7:16 PM,7:17 PM,7:20 PM,7:23 PM,7:24 PM,7:28 PM,7:32 PM,7:37 PM,7:39 PM,7:42 PM,7:47 PM
7:40 PM,7:46 PM,7:47 PM,7:50 PM,7:53 PM,7:54 PM,7:58 PM,8:02 PM,8:07 PM,8:09 PM,8:12 PM,8:17 PM
8:30 PM,8:36 PM,8:37 PM,8:40 PM,8:43 PM,8:44 PM,8:48 PM,8:52 PM,8:57 PM,8:59 PM,9:02 PM,9:07 PM
9:30 PM,9:36 PM,9:37 PM,9:40 PM,9:43 PM,9:44 PM,9:48 PM,9:52 PM,9:57 PM,9:59 PM,10:02 PM,10:07 PM
10:30 PM,10:36 PM,10:37 PM,10:40 PM,10:43 PM,10:44 PM,10:48 PM,10:52 PM,10:57 PM,10:59 PM,11:02 PM,11:07 PM
11:20 PM,11:26 PM,11:27 PM,11:30 PM,11:33 PM,11:34 PM,11:38 PM,11:42 PM,11:47 PM,-,-,-